model,image,input_size,detections,best_class_id,best_label,best_confidence,best_left,best_top,best_right,best_bottom,preprocess_ms,inference_ms,total_ms,cpu_percent,pss_mb,rss_mb,model_size_mb,gpu_usage_percent,delegate
"yolo11n_320","Ghi-Ma-n-hi-nh-2025-04-02-lu-c-14_04_42_mov-0017_jpg.rf.b635a1968c52972696572e13f5cf98d6.jpg",320,2,44,"301c-cac-xe-chi-duoc-re-trai",0.9738,23.3999,44.0156,309.8658,616.9290,37.1248,172.4974,213.0308,114.5316,165.3379,209.6172,10.1063,,"CPU"
"yolo11n_320","Ghi-Ma-n-hi-nh-2025-04-02-lu-c-15_06_54_mov-0123_jpg.rf.197f8c0a1a3c6ef7eca2eb4bc9b02e42.jpg",320,1,52,"420-bat-dau-khu-dong-dan-cu",0.9429,91.7225,246.0023,382.6754,383.4240,37.0909,177.4731,217.5273,119.9770,167.3457,211.4063,10.1063,,"CPU"
"yolo11n_320","Ghi-Ma-n-hi-nh-2025-04-02-lu-c-15_06_54_mov-0169_jpg.rf.ffb7a1764cbb0e63ccaa9eea360f6403.jpg",320,1,52,"420-bat-dau-khu-dong-dan-cu",0.9423,91.7000,246.0216,382.6496,383.4136,37.1637,173.4730,213.7520,116.9508,168.9199,212.7617,10.1063,,"CPU"
"yolo11n_320","Ghi-Ma-n-hi-nh-2025-04-02-lu-c-15_38_46_mov-0128_jpg.rf.611046171b0f3d2701b8a6a449f93d27.jpg",320,1,53,"421-ket-thuc-khu-dong-dan-cu",0.9811,464.3080,196.9570,618.7861,337.2364,37.0571,178.1013,218.2377,118.2132,170.9004,215.1055,10.1063,,"CPU"
"yolo11n_320","IMG_0493_jpeg.rf.3ae39d1297e3e1de25b07f168e79bc36.jpg",320,0,-1,"",0.0000,0.0000,0.0000,0.0000,0.0000,41.5287,171.9553,218.3207,131.8990,165.6426,209.9414,10.1063,,"CPU"
"yolo11n_320","IMG_4007-MOV_out0082_png.rf.7bbdf7cb3b519eb3ae5d2c2185311585.jpg",320,3,0,"102-cam-di-nguoc-chieu",0.9497,39.1864,187.4617,77.9564,264.7522,37.1472,175.1240,215.5485,119.2245,160.3848,204.3594,10.1063,,"CPU"
"yolo11n_320","IMG_4024-MOV_out0253_png.rf.503a4c4d1be9d04bb29a2d681fd63cf8.jpg",320,4,0,"102-cam-di-nguoc-chieu",0.9172,232.6885,438.0922,252.3435,484.7064,37.1001,171.2292,211.7593,118.9956,162.1855,205.9531,10.1063,,"CPU"
"yolo11n_320","IMG_4028-MOV_out0011_png.rf.a99e3f8eb0f391dc63d04a13f66c7d92.jpg",320,3,17,"127-toc-do-toi-da-60",0.9737,369.6900,112.8910,421.2468,203.2534,37.1782,172.6006,213.1841,117.7320,163.9746,207.8945,10.1063,,"CPU"
"yolo11n_320","IMG_4032-MOV_out0046_png.rf.2ee7f103233cddca5730e99df4bb569a.jpg",320,4,40,"227-cong-truong",0.9723,241.6768,427.7765,310.6068,531.7755,37.2241,172.9032,213.8667,119.2263,165.4531,209.5313,10.1063,,"CPU"
"yolo11n_320","IMG_4041-MOV_out0020_png.rf.91d13da17f2f3d6f9c8ffdd204463ac2.jpg",320,1,31,"201-cho-ngoat-nguy-hiem",0.7240,139.7079,218.4207,219.0294,344.5303,37.3243,170.6328,210.9808,117.5393,167.0605,211.4492,10.1063,,"CPU"
"yolo11n_320","IMG_4047-MOV_out0012_png.rf.09ca70977f0bc67b6fa6c76255a2f296.jpg",320,5,34,"207-giao-nhau-voi-duong-khong-uu-tien",0.7440,203.3240,254.2890,243.2218,310.8016,38.1270,172.5385,214.0164,125.6823,169.2832,213.2891,10.1063,,"CPU"
"yolo11n_320","IMG_4049-MOV_out0023_png.rf.176dec9b6c99c3073e95282376af54d4.jpg",320,5,22,"130-cam-dung-va-do-xe",0.9855,135.6801,59.5755,201.2291,171.4874,36.9071,171.8155,211.9718,118.4049,170.7627,214.9297,10.1063,,"CPU"
"yolo11n_320","IMG_4051-MOV_out0049_png.rf.0cdced0af44df2b18e13adfddda976bb.jpg",320,1,41,"245-di-cham",0.9937,245.4529,153.5731,337.4106,292.2882,37.1145,171.4271,212.2703,121.0630,172.7939,217.0156,10.1063,,"CPU"
"yolo11n_320","IMG_4051-MOV_out0052_png.rf.c7fb9ae66a6356120ecff9f0903bb4a1.jpg",320,1,41,"245-di-cham",0.9804,326.1787,126.4858,405.6421,252.2201,40.7273,172.8759,216.6969,123.6675,168.7002,212.6367,10.1063,,"CPU"
"yolo11n_320","IMG_4052-MOV_out0095_png.rf.cd837ddfd7779c6029cf8843e67a522d.jpg",320,1,31,"201-cho-ngoat-nguy-hiem",0.7281,255.3575,255.8467,288.5677,304.6870,37.1123,171.8424,212.0226,116.9622,160.9932,205.1055,10.1063,,"CPU"
"yolo11n_320","IMG_4055-MOV_out0002_png.rf.94c5ef6aa29fbe4784d4de3f78f2b683.jpg",320,3,16,"127-toc-do-toi-da-50",0.9762,216.1870,135.0581,281.2903,246.5307,37.2766,171.5645,212.3153,122.4520,162.7979,206.8828,10.1063,,"CPU"
"yolo11n_320","IMG_4063-MOV_out0014_png.rf.f12c9a9d9bc1a12865d7f0d9c2699bd2.jpg",320,2,48,"302a-huong-phai-di-vong-chuong-ngai-vat-1",0.9999,245.5084,281.4790,415.3607,579.5475,36.9799,171.6051,211.9504,117.4735,164.5986,208.6680,10.1063,,"CPU"
"yolo11n_320","IMG_4068-MOV_out0014_png.rf.46899b0d6413e15a0ae59681905e76ea.jpg",320,2,23,"131a-cam-do-xe",0.9204,449.2429,406.3571,469.0887,439.4775,37.1154,171.7909,211.9023,118.4436,166.2158,210.2656,10.1063,,"CPU"
"yolo11n_320","IMG_4088-MOV_out0008_png.rf.d90b9e2562e7f2317a06cd60967c20b2.jpg",320,1,22,"130-cam-dung-va-do-xe",0.9655,135.0323,200.0574,218.4655,345.5553,37.2108,172.3621,212.6963,122.7038,167.6924,211.9102,10.1063,,"CPU"
"yolo11n_320","IMG_4090-MOV_out0026_png.rf.878b7d031dda48c5609c1198ec6054fa.jpg",320,2,22,"130-cam-dung-va-do-xe",0.9647,242.8184,259.9083,324.1801,400.5425,37.1430,172.2483,212.5735,119.4810,169.6494,213.4570,10.1063,,"CPU"
"yolo11n_320","IMG_4090-MOV_out0027_png.rf.88dba89fb23debf0a97ce44daab9bfb2.jpg",320,2,22,"130-cam-dung-va-do-xe",0.9884,234.6919,207.4005,325.9490,359.0461,37.5380,172.6091,213.2905,119.5489,171.2666,215.2383,10.1063,,"CPU"
"yolo11n_320","IMG_4092-MOV_out0022_png.rf.713fb9936736c64cf149876cc11b2222.jpg",320,2,7,"123b-cam-re-phai",0.5615,90.1263,262.8621,220.1664,509.1322,37.8220,174.7756,218.0000,135.7667,158.1572,202.7578,10.1063,,"CPU"
"yolo11n_320","IMG_4094-MOV_out0042_png.rf.87f31848eb608dff4b9db2d8af1394c0.jpg",320,1,23,"131a-cam-do-xe",0.9081,280.4682,156.4355,419.2881,403.1174,37.1841,170.6146,210.8240,120.4722,160.3643,204.4297,10.1063,,"CPU"
"yolo11n_320","IMG_4102-MOV_out0004_png.rf.a8ff3f3168fed99a978b85593b5ae2d7.jpg",320,1,23,"131a-cam-do-xe",0.9173,78.5695,206.1945,222.1455,466.2772,37.0565,171.2747,211.3201,119.7168,162.1416,205.9922,10.1063,,"CPU"
"yolo11n_320","IMG_4112-MOV_out0033_png.rf.e613a1f06ff12b7a34f8ec255aeacb89.jpg",320,5,17,"127-toc-do-toi-da-60",0.9498,272.6832,142.1797,312.8546,211.1364,37.1621,172.4671,213.4265,122.2830,163.7744,207.9688,10.1063,,"CPU"
"yolo11n_320","IMG_4122-MOV_out0005_png.rf.1f4d23954e1988995727f1a64e6cbbbc.jpg",320,1,23,"131a-cam-do-xe",0.9729,288.4446,206.5345,358.6771,339.8633,37.4017,171.9693,213.1071,118.7110,165.4072,209.4141,10.1063,,"CPU"
"yolo11n_320","IMG_4122-MOV_out0064_png.rf.af462c333d954aee4ca15a655354abe5.jpg",320,1,23,"131a-cam-do-xe",0.8713,70.0298,324.7606,152.4135,458.2123,36.9875,176.2657,216.3860,118.2995,166.9834,211.1563,10.1063,,"CPU"
"yolo11n_320","IMG_4139-MOV_out0005_png.rf.97b28cd0c0f71780403c4b84d24d8a4a.jpg",320,2,39,"225-chu-y-tre-em",0.9013,294.0899,161.4253,343.4517,245.1426,37.3242,172.7528,213.2167,118.1828,169.1572,213.1133,10.1063,,"CPU"
"yolo11n_320","IMG_4146-MOV_out0029_png.rf.0daaf2020136bcd3f298eaf75ce59ef8.jpg",320,1,22,"130-cam-dung-va-do-xe",0.9124,103.5108,188.0309,135.1570,238.1991,37.0776,171.1849,211.2900,119.2607,170.6064,214.7266,10.1063,,"CPU"
"yolo11n_320","IMG_4153-MOV_out0027_png.rf.3b489fae87650e101d30d5c6a41cfc9f.jpg",320,4,16,"127-toc-do-toi-da-50",0.9726,443.8469,271.7727,494.1523,357.1375,37.0385,174.2644,217.0256,138.2171,157.7861,202.1719,10.1063,,"CPU"
"yolo11n_320","IMG_4156-MOV_out0004_png.rf.258de781248cb979aa7860533b259be6.jpg",320,1,8,"124a-cam-quay-dau-xe",0.9423,149.8687,266.1484,185.2848,325.4949,37.1922,172.3992,212.6302,121.3306,159.6416,204.0586,10.1063,,"CPU"
"yolo11n_320","IMG_4160-MOV_out0006_png.rf.d24a9a545520174ba55c97aecd39172b.jpg",320,2,22,"130-cam-dung-va-do-xe",0.9530,140.8660,221.9443,179.7595,284.1023,37.1077,170.5392,210.9166,120.4196,161.7822,205.8008,10.1063,,"CPU"
"yolo11n_320","IMG_4169-MOV_out0007_png.rf.2b7f1fe993d9f4ca54cf4c7d456f9a32.jpg",320,1,31,"201-cho-ngoat-nguy-hiem",0.9323,59.9673,60.5471,261.6384,374.7582,37.4000,172.5231,213.7593,124.8988,163.4111,207.3945,10.1063,,"CPU"
"yolo11n_320","IMG_4186-MOV_out0007_png.rf.1917a5c7b2cfe606bae80b1d817bf0f2.jpg",320,4,23,"131a-cam-do-xe",0.9220,183.3296,440.7706,227.7753,516.4150,37.1672,171.1902,211.5201,120.0761,165.0127,208.9883,10.1063,,"CPU"
"yolo11n_320","IMG_4200-MOV_out0029_png.rf.0fb9f2aa37e8780adb2e719bb0d542bf.jpg",320,2,36,"209-giao-nhau-co-tin-hieu-den",0.9595,47.9391,1.5246,350.5614,494.6504,37.0357,173.4586,213.6446,122.6271,166.8135,210.7656,10.1063,,"CPU"
"yolo11n_320","IMG_4215-MOV_out0030_png.rf.ee7ce2f58d7f466d4ac5f502e75f7226.jpg",320,1,33,"205-duong-giao-nhau",0.9808,374.6967,198.7419,426.4731,276.6153,37.2953,171.2371,211.7888,118.9790,168.6650,212.5820,10.1063,,"CPU"
"yolo11n_320","IMG_4215-MOV_out0062_png.rf.3674eafd2b4fdfccc3e09fc9b26e7975.jpg",320,2,48,"302a-huong-phai-di-vong-chuong-ngai-vat-1",0.9934,349.1580,400.2393,428.5063,539.7420,37.3978,173.0273,213.6826,119.7970,170.2588,213.9688,10.1063,,"CPU"
"yolo11n_320","IMG_4218-MOV_out0006_png.rf.e57c98fe37e1ee748a41cbcc0fe9e60e.jpg",320,5,48,"302a-huong-phai-di-vong-chuong-ngai-vat-1",0.9582,0.0000,449.1004,14.4134,476.6249,37.1070,173.1215,216.0383,136.0744,157.4385,201.5977,10.1063,,"CPU"
"yolo11n_320","MOV00728_mp4-0007_jpg.rf.9a2474f55178eaf5357d93dfbd910e22.jpg",320,1,53,"421-ket-thuc-khu-dong-dan-cu",0.9558,487.2894,54.5508,539.2924,145.2217,37.2126,170.5322,210.6733,118.6600,160.0205,203.8789,10.1063,,"CPU"
"yolo11n_320","MOV00732_mp4-0000_jpg.rf.b5cbb3eb96c921d963af9dcde7c08376.jpg",320,2,38,"224-duong-nguoi-di-bo-cat-ngang",0.5006,431.7930,112.1625,451.8863,142.9619,37.6140,172.0560,212.5790,128.8861,161.3135,205.3594,10.1063,,"CPU"
"yolo11n_320","NO20250629-160524-000060F_f01836_jpg.rf.e7d99b92332fab1542b1491d4f57523a.jpg",320,1,22,"130-cam-dung-va-do-xe",0.4458,1624.8025,761.5198,1696.9979,834.7366,38.0602,172.2292,213.0948,121.5368,181.0400,225.0664,10.1063,,"CPU"
"yolo11n_320","NO20250710-170649-000005F_f03588_jpg.rf.fe490bfaf5cd21106fe7a2a7b795521f.jpg",320,0,-1,"",0.0000,0.0000,0.0000,0.0000,0.0000,38.0610,171.8577,212.8103,119.8156,182.8291,226.9688,10.1063,,"CPU"
"yolo11n_320","NO20250712-170157-000088F_f00494_jpg.rf.c37edfad4641bfb747f5a2686ad5b113.jpg",320,0,-1,"",0.0000,0.0000,0.0000,0.0000,0.0000,37.8601,172.5471,213.1259,116.8252,181.1182,225.0508,10.1063,,"CPU"
"yolo11n_320","Tua-n-Khanh-1968-online-video-cutter_com-_mp4-0112_jpg.rf.8fce825012051f902d66d1dd19ef8bb7.jpg",320,1,14,"127-toc-do-toi-da-30",0.8637,283.1441,261.7160,329.1681,287.8399,37.4733,171.9914,212.4736,119.5258,161.1611,205.0703,10.1063,,"CPU"
"yolo11n_320","Tua-n-Khanh-1968-online-video-cutter_com-_mp4-0138_jpg.rf.e47a884fcd76e6cafb53643de1017bc6.jpg",320,1,14,"127-toc-do-toi-da-30",0.8978,325.0399,230.6257,384.8573,266.3464,37.4679,171.4115,211.9156,119.3817,162.9150,206.8125,10.1063,,"CPU"
"yolo11n_320","ch0_20250430101655_20250430101955_f00010_jpg.rf.4bc7057d8244b1093f3f7f474769dc97.jpg",320,0,-1,"",0.0000,0.0000,0.0000,0.0000,0.0000,37.4317,172.1995,212.4014,119.5766,171.1826,214.8750,10.1063,,"CPU"
"yolo11n_320","ch0_20250430101655_20250430101955_f01670_jpg.rf.d6ff095299d7c2bbf492f0669090f6a8.jpg",320,0,-1,"",0.0000,0.0000,0.0000,0.0000,0.0000,37.3886,171.0035,211.1176,117.4617,172.7314,216.5898,10.1063,,"CPU"
"yolo11n_320","ch0_20250430104659_20250430104959_f03726_jpg.rf.a0cb74e29a4566d78f3a43b41dfe7bd4.jpg",320,0,-1,"",0.0000,0.0000,0.0000,0.0000,0.0000,37.3827,173.3758,213.5054,118.9591,174.4854,218.3047,10.1063,,"CPU"
"yolo11n_320","ch0_20250430104659_20250430104959_f03780_jpg.rf.65565d95b7a5537f767c535dc4e16cd0.jpg",320,0,-1,"",0.0000,0.0000,0.0000,0.0000,0.0000,37.7459,171.5389,212.2338,120.6151,176.6963,220.6719,10.1063,,"CPU"
"yolo11n_320","ch0_20250430105000_20250430105300_f02826_jpg.rf.e2062c1fcdd3217b28a116cee3c45d2e.jpg",320,0,-1,"",0.0000,0.0000,0.0000,0.0000,0.0000,37.2783,172.4471,214.9744,135.3449,163.9658,208.1523,10.1063,,"CPU"
"yolo11n_320","ch0_20250430105300_20250430105600_f00252_jpg.rf.4f294a6511559e83c093a8303e3b864e.jpg",320,0,-1,"",0.0000,0.0000,0.0000,0.0000,0.0000,37.2957,173.5694,213.6227,123.5751,166.0244,210.2344,10.1063,,"CPU"
"yolo11n_320","ch0_20250430105300_20250430105600_f01818_jpg.rf.cf5f087c0b376cff623398bedca0f505.jpg",320,2,23,"131a-cam-do-xe",0.4802,1382.3120,607.9304,1428.3292,660.0237,37.4779,172.6303,214.0090,121.0175,168.0439,212.0430,10.1063,,"CPU"
"yolo11n_320","ch0_20250504150317_20250504150617_f01420_jpg.rf.e71c01097d00aafd575a2d1fa70714c9.jpg",320,1,0,"102-cam-di-nguoc-chieu",0.3268,892.1299,664.7001,916.8686,686.2612,37.4534,172.8766,213.1959,120.0719,169.6689,213.6328,10.1063,,"CPU"
"yolo11n_320","ch0_20250504150617_20250504150917_f03930_jpg.rf.68f5c2124f1b4f9e99953613121153c1.jpg",320,1,9,"124b-cam-oto-quay-dau-xe",0.3330,1156.9243,656.3128,1192.9629,693.1661,37.4778,172.4818,212.8139,117.9385,171.4111,215.1758,10.1063,,"CPU"
"yolo11n_320","ch0_20250504150917_20250504151217_f01340_jpg.rf.77fa98ad4dd622017e43de43df162dd2.jpg",320,2,0,"102-cam-di-nguoc-chieu",0.9373,545.2579,347.2449,661.0445,454.8058,37.3884,170.7660,211.2651,118.8021,173.0166,216.7578,10.1063,,"CPU"
"yolo11n_320","ch0_20250504150917_20250504151217_f03740_jpg.rf.d23464a0849d09491280af611f02aadb.jpg",320,0,-1,"",0.0000,0.0000,0.0000,0.0000,0.0000,37.6402,171.1204,211.5236,121.0187,174.6768,219.0664,10.1063,,"CPU"
"yolo11n_320","ch0_20250504151217_20250504151517_f00100_jpg.rf.e3c5eab93106bc5a40bd66dd23b80c50.jpg",320,2,48,"302a-huong-phai-di-vong-chuong-ngai-vat-1",0.9640,289.3961,350.5095,385.3855,474.5656,37.4111,171.1931,211.8796,119.8745,176.6221,220.7891,10.1063,,"CPU"
"yolo11n_320","ch0_20250504151217_20250504151517_f03230_jpg.rf.158925432bebc859c1d9f0759e35dcd1.jpg",320,2,48,"302a-huong-phai-di-vong-chuong-ngai-vat-1",0.9364,621.6801,444.8529,731.7640,557.4921,37.3397,173.4087,215.9936,134.7147,164.2432,208.7969,10.1063,,"CPU"
"yolo11n_320","ch0_20250504151217_20250504151517_f04150_jpg.rf.b5dbe1e170bf594d4a67270e3afb7c43.jpg",320,0,-1,"",0.0000,0.0000,0.0000,0.0000,0.0000,37.5290,171.7231,212.0618,118.8256,166.4893,210.6992,10.1063,,"CPU"
"yolo11n_320","ch0_20250504151517_20250504151817_f02950_jpg.rf.f9fb161c48ac277e3c4377828c449261.jpg",320,0,-1,"",0.0000,0.0000,0.0000,0.0000,0.0000,37.2668,174.0866,214.3310,117.1013,168.2354,212.2461,10.1063,,"CPU"
"yolo11n_320","ch0_20250504151817_20250504152117_f00860_jpg.rf.aed04b9771fccada2de65166143e3eb3.jpg",320,1,0,"102-cam-di-nguoc-chieu",0.3091,805.8499,654.1071,840.2646,681.9164,37.3681,179.7692,220.3007,142.0691,170.0283,214.1992,10.1063,,"CPU"
"yolo11n_320","ch0_20250504151817_20250504152117_f03560_jpg.rf.fdb8dfbec5d0bef191ce8293ab736fc9.jpg",320,7,50,"306-toc-do-toi-thieu-60",0.9656,1159.5103,225.2586,1272.4508,329.0036,37.4933,170.6870,211.5477,118.6439,171.8213,215.9766,10.1063,,"CPU"
"yolo11n_320","ch0_20250504154520_20250504154820_f02180_jpg.rf.33f076286bb1639912441813a8e67f2d.jpg",320,1,19,"127-toc-do-toi-da-80",0.8321,1304.5210,579.9776,1398.9186,675.9091,37.4797,172.2072,212.5288,122.8017,173.6299,217.7656,10.1063,,"CPU"
"yolo11n_320","ch0_20250504154520_20250504154820_f02830_jpg.rf.4ce52082b9c10ae58656589d07172f7d.jpg",320,1,56,"438-ket-thuc-duong-cao-toc",0.3734,1309.2653,110.4869,1366.7733,173.6409,37.6107,171.4426,211.8267,121.7918,175.5869,219.6914,10.1063,,"CPU"
"yolo11n_320","ch0_20250504163332_20250504163632_f02200_jpg.rf.d8084ac703bc068a0dda1e098fcc769e.jpg",320,4,48,"302a-huong-phai-di-vong-chuong-ngai-vat-1",0.9269,564.9000,475.6111,652.1573,564.0031,37.5873,172.5691,213.1965,121.4792,177.4463,221.5234,10.1063,,"CPU"
"yolo11n_320","ch0_20250504163332_20250504163632_f04020_jpg.rf.5fea7fffc3a908d01593f97b003a8404.jpg",320,0,-1,"",0.0000,0.0000,0.0000,0.0000,0.0000,41.5465,172.6746,219.5147,134.3724,164.7510,208.9727,10.1063,,"CPU"
"yolo11n_320","ch0_20250511151404_20250511151904_f02595_jpg.rf.d921c03cdea5fbba215a16bdfda74a5f.jpg",320,1,42,"301a-cac-xe-chi-duoc-di-thang",0.9310,1440.2333,246.3125,1561.2766,384.4254,37.4183,170.9448,211.5708,122.8850,166.6416,210.9063,10.1063,,"CPU"
"yolo11n_320","ch0_20250511152904_20250511153404_f01350_jpg.rf.095a607564ebd68f6172d7114a549455.jpg",320,1,3,"103c-cam-oto-re-trai",0.5418,1535.4218,475.5864,1596.0498,553.2435,37.5049,171.9764,212.3825,119.1185,168.5947,212.6445,10.1063,,"CPU"
"yolo11n_320","ch0_20250511153904_20250511154404_f02640_jpg.rf.a47a398c69b0b006451dac1cd622f542.jpg",320,2,48,"302a-huong-phai-di-vong-chuong-ngai-vat-1",0.9091,447.3319,613.9390,481.2843,660.7768,37.3908,172.4582,212.8654,120.7290,170.3916,214.5117,10.1063,,"CPU"
"yolo11n_320","ch0_20250511161258_20250511161758_f01807_jpg.rf.338d12bdbeda47bf65b2aaa154ccdc54.jpg",320,1,23,"131a-cam-do-xe",0.6472,1670.7349,508.3161,1710.8760,564.0186,37.7136,172.5279,213.7093,125.8664,172.5244,216.6367,10.1063,,"CPU"
"yolo11n_320","ch0_20250511161758_20250511162258_f03029_jpg.rf.e60388f056fd6de3298bc7058207e5f0.jpg",320,1,23,"131a-cam-do-xe",0.6157,1502.7745,493.3506,1555.5140,556.2105,37.8560,171.1438,211.9899,119.8099,174.1807,218.2617,10.1063,,"CPU"
"yolo11n_320","ch0_20250511163258_20250511163758_f05772_jpg.rf.dc078d52f13ec83aeca168a74000650f.jpg",320,0,-1,"",0.0000,0.0000,0.0000,0.0000,0.0000,37.5943,172.6456,213.1867,119.1363,175.6377,219.8828,10.1063,,"CPU"
"yolo11n_320","ch0_20250511163759_20250511164259_f05863_jpg.rf.207a395b469f8a7123bcb8a55f7dbde0.jpg",320,1,6,"123a-cam-re-trai",0.2667,591.8284,189.0550,682.1531,280.2291,37.5968,171.9477,213.0536,120.1510,177.5869,221.7383,10.1063,,"CPU"
